CODE (PAP),ITEM DESCRIPTION,CATEGORY,QUANTITY,UNIT,ABC,TOTAL ABC,CLASSIFICATION,EPA (Yes/No),END-USER,PPMP ENDORSEMENT DATE,PPMP NO.,MARKET SCOPING CONDUCTED,MARKET SCOPING TIMELINE,PROCUREMENT STRATEGY OR TOOLS,SOURCE OF FUNDS,CAF NO.,PR DATE,PR NO.,PR QUANTITY,PR ABC,PR TOTAL ABC,DATE ENDORSED (BUDGET),PR DATE ENDORSED TO PROCUREMENT,MOOE,CAPITAL OUTLAY,PRE-PROCUREMENT CONFERENCE,POSTING DATE,PHILGEPS REFERENCE NO.,PROJECT ID,PRE-BID CONFERENCE,ELIGIBILITY SCREENING,SUBMISSION OF BIDS,DETAILED BID EVALUATION,DEADLINE FOR SUBMISSION OF DOCUMENTARY REQUIREMENTS ,POST-QUALIFICATION,RECOMMENDATION OF AWARD,SUBMISSION OF PERFORMANCE SECURITY,TRANSMITTAL OF DOCUMENTS,TRANSMITTAL OF DOCUMENTS (MMS),EVALUATION AND AWARD CRITERIA,NOA DATE,NOA RECEIVED DATE,NTP DATE,NTP RECEIVED DATE,BAC RESOLUTION NO.,DATE PREPARED (PO),PO NO.,SP NO.,SUPPLIER,PO RECEIVED BY SUPPLIER,PO QUANTITY,PO UNIT COST,PO TOTAL COST,DATE ENDORSED TO BUDGET (PO),DATE RETURNED TO PROCUREMENT,MOOE (PO),CAPITAL OUTLAY (PO),DELIVERY/COMPLETION,INSPECTION AND ACCEPTANCE,STATUS,PROCUREMENT METHOD,PROCUREMENT METHOD PO,APP CLASSIFICATION,PROJECT TITLE,BID ATTEMPT,REMARKS,ITB/BID DOCS LINK,"RETURN ATTEMPTS
(Documents)",TYPE OF DOCUMENT RETURNED,DETAILS (1st Return),DETAILS (2nd Return),DETAILS (3rd Return),DETAILS (4th Return),DETAILS (5th Return)
1178,Arterial Blood Gas Reagents,Medical Supply,"42,000",Set,300.00,"12,600,000.00",Goods and Services,Yes,Pulmonary Unit,September 2025,0001,x-x-x-x-x,March to July 2025,None,NEP/GAA 2026,2025-3391,"September 24, 2025",26-01-0001,"42,000",300.00,"12,600,000.00",,"September 24, 2025","12,600,000.00",,"October 10, 2025","October 15, 2025",12488876,2601-GOODS-01A,"October 23, 2025","November 7, 2025","November 7, 2025","November 13, 2025","November 19, 2026","November 20, 2025","November 25, 2026","January 15, 2026","March 27, 2026",,LCRB / SCRB,"January 7, 2026","June 14, 2026",,,,,,,MARSMAN DRYSDALE MEDICAL PRODUCTS INC.,,"42,000",141.00,"5,922,000.00",,,"5,922,000.00",,,,Awarded,(RA 12009) Section 27: Competitive Bidding,,Main APP,Supply and Delivery of Arterial Blood Gas Sample/Reagents (Early Procurement Activities) FY 2026,Initial,,bit.ly/ABGEPAFY2026,,,,,,,
1179,"MEDICAL COMPRESSED AIR IN CYLINDER TANK (Content Only Atleast 40L, 1800 PSI, Standard)",Other Equipment,"2,000",Tank,600.00,"1,200,000.00",Goods and Services,Yes,EFM - Medical Gas Plant,September 2025,0001,x-x-x-x-x,March to July 2025,None,NEP/GAA 2026,2025-3616,"October 22, 2025",26-01-0012,500,550.00,"275,000.00",,"October 22, 2025","275,000.00",,"November 3, 2025","November 6, 2025",12556542,2601-GOODS-08A,"November 13, 2025","November 26, 2025","November 26, 2025","November 28, 2025","November 28, 2025","November 28, 2025","November 28, 2025","January 19, 2026","January 28, 2026",,LCRB / SCRB,"January 5, 2026","January 13, 2026",,,2025-11-28-0744,,,,PREMIUM GASES CORPORATION,,"2,000",600.00,"1,200,000.00",,,"1,200,000.00",,,,Awarded,(RA 12009) Section 27: Competitive Bidding,,Main APP,Supply and Delivery of Medical Oxygen and Compressed Air in Cylinder Tanks for FY 2026 (Early Procurement Activities),Initial,,bit.ly/MEDICALOXYGENFY2026EPA,,,,,,,
1180,"MEDICAL OXYGEN IN CYLINDER TANK (Content Only Atleast 40L, 1800 PSI, Standard)",Other Equipment,500,Tank,550.00,"275,000.00",Goods and Services,Yes,EFM - Medical Gas Plant,September 2025,0001,x-x-x-x-x,March to July 2025,None,NEP/GAA 2026,2025-3616,"October 22, 2025",26-01-0012,"2,000",600.00,"1,200,000.00",,"October 22, 2025","1,200,000.00",,"November 3, 2025","November 6, 2025",12556542,2601-GOODS-08A,"November 13, 2025","November 26, 2025","November 26, 2025","November 28, 2025","November 28, 2025","November 28, 2025","November 28, 2025","January 19, 2026","January 28, 2026",,LCRB / SCRB,"January 5, 2026","January 13, 2026",,,2025-11-28-0744,,,,PREMIUM GASES CORPORATION,,500,500.00,"250,000.00",,,"250,000.00",,,,Awarded,(RA 12009) Section 27: Competitive Bidding,,Main APP,Supply and Delivery of Medical Oxygen and Compressed Air in Cylinder Tanks for FY 2026 (Early Procurement Activities),Initial,,bit.ly/MEDICALOXYGENFY2026EPA,,,,,,,
1181,Supply and Delivery of Consumables for dialysis with provisions of HD & PD Unit (Lease Per Treatment Scheme),Services and Consultancy,1,Lot,"102,354,890.00",0.00,Goods and Services,Yes,RCWM-HD,September 2025,0001,x-x-x-x-x,March to July 2025,None,NEP/GAA 2026,3551,"October 2, 2025",26-01-0004,1,"102,354,890.00",0.00,,"October 2, 2025",0.00,,"October 22, 2025","November 18, 2025",12592491,2601-GOODS-05A,"November 25, 2025","December 10, 2025","December 10, 2025",,N/A,N/A,,,,,LCRB / SCRB,,,,,,,,,,,,,,,,,,,,Realigned Item,(RA 12009) Section 27: Competitive Bidding,,Main APP,Supply and Delivery of Consumables (Lease for Treatment Scheme) for Dialysis with Installation and Commissioning of Upgraded Brand New Dialysis Machines and Renovation of HD and PD (Early Procurement Activities) for FY 2026,Initial,realigned (Change ABC),,,,,,,,
1182,Contract Security Services,Services and Consultancy,1,Lot,"27,156,600.00","27,156,600.00",Goods and Services,Yes,Security Unit,September 2025,0001,x-x-x-x-x,March to July 2025,None,NEP/GAA 2026,2025-3390,"October 1, 2025",26-01-0002,1,"27,156,600.00","27,156,600.00",,"October 1, 2025","27,156,600.00",,"October 6, 2025","October 8, 2025",12464385,2601-GOODS-02A,"October 16, 2025","October 30, 2025","October 30, 2025","November 3, 2025","November 10, 2025","November 11, 2025","November 21, 2026","January 5, 2026","February 2, 2026",,LCRB / SCRB,"January 1, 2026","January 6, 2026",,,2025-11-21-0734,,,,PICHEL SECURITY SERVICES,,1,"25,751,276.40","25,751,276.40",,,"25,751,276.40",,,,Awarded,(RA 12009) Section 27: Competitive Bidding,,Main APP,Procurement of Security Services for FY 2026 (Early Procurement Activities),Initial,,bit.ly/SECURITYSERVICESFY2026EPA,,,,,,,
1183,Training (Inhouse): Venue and Catering (Hotel),Training Expenses,"3,000",Pax,671.00,"2,013,000.00",Goods and Services,Yes,PET-RO,September 2025,0001,x-x-x-x-x,March to July 2025,None,NEP/GAA 2026,2025-3617,"October 1, 2025",26-01-0003,"3,000",671.00,0.00,,"October 1, 2025",0.00,,"October 6, 2025","October 8, 2025",12464131,2601-GOODS-03A,"October 16, 2025","October 30, 2025","October 30, 2025","November 3, 2025",N/A,N/A,,,,,LCRB / SCRB,,,,,,,,,,,,,0.00,,,,,,,Failed,(RA 12009) Section 27: Competitive Bidding,,Main APP,"Procurement of Venue, Catering Services, Hotel Accommodation and Meals and Snacks for FY 2026 (Early Procurement Activities)",Initial,,bit.ly/VENUEANDCATERING2026EPA,,,,,,,
1183,Training (Inhouse): Venue and Catering (Hotel),Training Expenses,"3,000",Pax,671.00,0.00,Goods and Services,Yes,PET-RO,September 2025,0001,x-x-x-x-x,March to July 2025,None,NEP/GAA 2026,2025-3617,"October 1, 2025",26-01-0003,"3,000",671.00,"2,013,000.00",,"October 1, 2025","2,013,000.00",,N/A,N/A,N/A,0043 (LR-03-0043),N/A,"March 11, 2026","March 11, 2026","March 11, 2026",N/A,N/A,,N/A,,,LCRB / SCRB,"March 10, 2026","March 12, 2026",,,2026-03-10-0035,,,,GRAND ASTORIA HOTEL,,"3,000",670.00,"2,010,000.00",,,"2,010,000.00",,,,Awarded,(RA 12009) Section 35.9: Lease of Real Property or Venue,,Main APP,"Lease of Venue, Catering and Hotel Accmmodation Services for Training Activities",Initial,,bit.ly/VENUEANDCATERING2026EPA,,,,,,,
1183,Training (Inhouse): Venue and Catering (Hotel),Training Expenses,"3,000",Pax,671.00,0.00,Goods and Services,Yes,PET-RO,September 2025,0001,x-x-x-x-x,March to July 2025,None,NEP/GAA 2026,2025-3617,"October 1, 2025",26-01-0003,"3,000",671.00,0.00,,"October 1, 2025",0.00,,N/A,N/A,N/A,0043 (LR-03-0043),N/A,"March 11, 2026","March 11, 2026","March 11, 2026",N/A,N/A,"March 10, 2026",N/A,,,LCRB / SCRB,"March 10, 2026","March 12, 2026","March 13, 2026","March 30, 2026",2026-03-10-0035,"March 13, 2026",26-03-0079,,GRAND ASTORIA HOTEL,"March 30, 2026",302,670.00,"202,340.00","March 17, 2026","March 30, 2026","202,340.00",,,,Purchase Order,(RA 12009) Section 35.9: Lease of Real Property or Venue,(RA 12009) Section 35.9: Lease of Real Property or Venue,Main APP,"Lease of Venue, Catering and Hotel Accmmodation Services for Training Activities",Initial,,bit.ly/VENUEANDCATERING2026EPA,,,,,,,
1183,Training (Inhouse): Venue and Catering (Hotel),Training Expenses,"3,000",Pax,671.00,0.00,Goods and Services,Yes,PET-RO,September 2025,0001,x-x-x-x-x,March to July 2025,None,NEP/GAA 2026,2025-3617,"October 1, 2025",26-01-0003,"3,000",671.00,0.00,,"October 1, 2025",0.00,,N/A,N/A,N/A,0043 (LR-03-0043),N/A,"March 11, 2026","March 11, 2026","March 11, 2026",N/A,N/A,"March 10, 2026",N/A,,,LCRB / SCRB,"March 10, 2026","March 12, 2026","April 6, 2026",,2026-03-10-0035,"April 6, 2026",26-04-0137,,GRAND ASTORIA HOTEL,,180,670.00,"120,600.00",,,"120,600.00",,,,Purchase Order,(RA 12009) Section 35.9: Lease of Real Property or Venue,(RA 12009) Section 35.9: Lease of Real Property or Venue,Main APP,"Lease of Venue, Catering and Hotel Accmmodation Services for Training Activities",Initial,,bit.ly/VENUEANDCATERING2026EPA,,,,,,,
1183,Training (Inhouse): Venue and Catering (Hotel),Training Expenses,"3,000",Pax,671.00,0.00,Goods and Services,Yes,PET-RO,September 2025,0001,x-x-x-x-x,March to July 2025,None,NEP/GAA 2026,2025-3617,"October 1, 2025",26-01-0003,"3,000",671.00,0.00,,"October 1, 2025",0.00,,N/A,N/A,N/A,0043 (LR-03-0043),N/A,"March 11, 2026","March 11, 2026","March 11, 2026",N/A,N/A,"March 10, 2026",N/A,,,LCRB / SCRB,"March 10, 2026","March 12, 2026","May 4, 2026",,2026-03-10-0035,"May 4, 2026",26-05-0236,,GRAND ASTORIA HOTEL,,270,670.00,"180,900.00",,,"180,900.00",,,,Purchase Order,(RA 12009) Section 35.9: Lease of Real Property or Venue,(RA 12009) Section 35.9: Lease of Real Property or Venue,Main APP,"Lease of Venue, Catering and Hotel Accmmodation Services for Training Activities",Initial,,bit.ly/VENUEANDCATERING2026EPA,,,,,,,
1183,Training (Inhouse): Venue and Catering (Hotel),Training Expenses,"3,000",Pax,671.00,0.00,Goods and Services,Yes,PET-RO,September 2025,0001,x-x-x-x-x,March to July 2025,None,NEP/GAA 2026,2025-3617,"October 1, 2025",26-01-0003,"3,000",671.00,0.00,,"October 1, 2025",0.00,,N/A,N/A,N/A,0043 (LR-03-0043),N/A,"March 11, 2026","March 11, 2026","March 11, 2026",N/A,N/A,"March 10, 2026",N/A,,,LCRB / SCRB,"March 10, 2026","March 12, 2026","May 25, 2026",,2026-03-10-0035,"May 25, 2026",26-05-0336,,GRAND ASTORIA HOTEL,,485,670.00,"324,950.00",,,"324,950.00",,,,Purchase Order,(RA 12009) Section 35.9: Lease of Real Property or Venue,(RA 12009) Section 35.9: Lease of Real Property or Venue,Main APP,"Lease of Venue, Catering and Hotel Accmmodation Services for Training Activities",Initial,,bit.ly/VENUEANDCATERING2026EPA,,,,,,,
1183,Training (Inhouse): Venue and Catering (Hotel),Training Expenses,"3,000",Pax,671.00,0.00,Goods and Services,Yes,PET-RO,September 2025,0001,x-x-x-x-x,March to July 2025,None,NEP/GAA 2026,2025-3617,"October 1, 2025",26-01-0003,"3,000",671.00,0.00,,"October 1, 2025",0.00,,N/A,N/A,N/A,0043 (LR-03-0043),N/A,"March 11, 2026","March 11, 2026","March 11, 2026",N/A,N/A,"March 10, 2026",N/A,,,LCRB / SCRB,"March 10, 2026","March 12, 2026","March 19, 2026","April 8, 2026",2026-03-10-0035,"March 19, 2026",26-03-0103,,GRAND ASTORIA HOTEL,"April 8, 2026",105,670.00,"70,350.00","March 23, 2026","April 8, 2026","70,350.00",,,,Purchase Order,(RA 12009) Section 35.9: Lease of Real Property or Venue,(RA 12009) Section 35.9: Lease of Real Property or Venue,Main APP,"Lease of Venue, Catering and Hotel Accmmodation Services for Training Activities",Initial,,bit.ly/VENUEANDCATERING2026EPA,,,,,,,
1183,Training (Inhouse): Venue and Catering (Hotel),Training Expenses,"3,000",Pax,671.00,0.00,Goods and Services,Yes,PET-RO,September 2025,0001,x-x-x-x-x,March to July 2025,None,NEP/GAA 2026,2025-3617,"October 1, 2025",26-01-0003,"3,000",671.00,0.00,,"October 1, 2025",0.00,,N/A,N/A,N/A,0043 (LR-03-0043),N/A,"March 11, 2026","March 11, 2026","March 11, 2026",N/A,N/A,"March 10, 2026",N/A,,,LCRB / SCRB,"March 10, 2026","March 12, 2026","April 13, 2026",,2026-03-10-0035,"April 13, 2026",26-07-0542,,GRAND ASTORIA HOTEL,,330,670.00,"221,100.00",,,"221,100.00",,,,Purchase Order,(RA 12009) Section 35.9: Lease of Real Property or Venue,(RA 12009) Section 35.9: Lease of Real Property or Venue,Main APP,"Lease of Venue, Catering and Hotel Accmmodation Services for Training Activities",Initial,,bit.ly/VENUEANDCATERING2026EPA,,,,,,,
1183,Training (Inhouse): Venue and Catering (Hotel),Training Expenses,"3,000",Pax,671.00,0.00,Goods and Services,Yes,PET-RO,September 2025,0001,x-x-x-x-x,March to July 2025,None,NEP/GAA 2026,2025-3617,"October 1, 2025",26-01-0003,"3,000",671.00,0.00,,"October 1, 2025",0.00,,N/A,N/A,N/A,0043 (LR-03-0043),N/A,"March 11, 2026","March 11, 2026","March 11, 2026",N/A,N/A,"March 10, 2026",N/A,,,LCRB / SCRB,"March 10, 2026","March 12, 2026","July 17, 2026",,2026-03-10-0035,"July 17, 2026",26-07-0560,,GRAND ASTORIA HOTEL,,50,670.00,"33,500.00",,,"33,500.00",,,,Purchase Order,(RA 12009) Section 35.9: Lease of Real Property or Venue,(RA 12009) Section 35.9: Lease of Real Property or Venue,Main APP,"Lease of Venue, Catering and Hotel Accmmodation Services for Training Activities",Initial,,bit.ly/VENUEANDCATERING2026EPA,,,,,,,
1183,Training (Inhouse): Venue and Catering (Hotel),Training Expenses,"3,000",Pax,671.00,0.00,Goods and Services,Yes,PET-RO,September 2025,0001,x-x-x-x-x,March to July 2025,None,NEP/GAA 2026,2025-3617,"October 1, 2025",26-01-0003,"3,000",671.00,0.00,,"October 1, 2025",0.00,,N/A,N/A,N/A,0043 (LR-03-0043),N/A,"March 11, 2026","March 11, 2026","March 11, 2026",N/A,N/A,"March 10, 2026",N/A,,,LCRB / SCRB,"March 10, 2026","March 12, 2026","August 5, 2026",,2026-03-10-0035,"August 5, 2026",26-08-0620,,GRAND ASTORIA HOTEL,,50,670.00,"33,500.00",,,"33,500.00",,,,Purchase Order,(RA 12009) Section 35.9: Lease of Real Property or Venue,(RA 12009) Section 35.9: Lease of Real Property or Venue,Main APP,"Lease of Venue, Catering and Hotel Accmmodation Services for Training Activities",Initial,,bit.ly/VENUEANDCATERING2026EPA,,,,,,,
1183,Training (Inhouse): Venue and Catering (Hotel),Training Expenses,"3,000",Pax,671.00,0.00,Goods and Services,Yes,PET-RO,September 2025,0001,x-x-x-x-x,March to July 2025,None,NEP/GAA 2026,2025-3617,"October 1, 2025",26-01-0003,"3,000",671.00,0.00,,"October 1, 2025",0.00,,N/A,N/A,N/A,0043 (LR-03-0043),N/A,"March 11, 2026","March 11, 2026","March 11, 2026",N/A,N/A,"March 10, 2026",N/A,,,LCRB / SCRB,"March 10, 2026","March 12, 2026","August 7, 2026",,2026-03-10-0035,"August 7, 2026",26-08-0634,,GRAND ASTORIA HOTEL,,170,670.00,"113,900.00",,,"113,900.00",,,,Purchase Order,(RA 12009) Section 35.9: Lease of Real Property or Venue,(RA 12009) Section 35.9: Lease of Real Property or Venue,Main APP,"Lease of Venue, Catering and Hotel Accmmodation Services for Training Activities",Initial,,bit.ly/VENUEANDCATERING2026EPA,,,,,,,
1183,Training (Inhouse): Venue and Catering (Hotel),Training Expenses,"3,000",Pax,671.00,0.00,Goods and Services,Yes,PET-RO,September 2025,0001,x-x-x-x-x,March to July 2025,None,NEP/GAA 2026,2025-3617,"October 1, 2025",26-01-0003,"3,000",671.00,0.00,,"October 1, 2025",0.00,,N/A,N/A,N/A,0043 (LR-03-0043),N/A,"March 11, 2026","March 11, 2026","March 11, 2026",N/A,N/A,"March 10, 2026",N/A,,,LCRB / SCRB,"March 10, 2026","March 12, 2026","August 18, 2026",,2026-03-10-0035,"August 18, 2026",26-08-0675,,GRAND ASTORIA HOTEL,,120,670.00,"80,400.00",,,"80,400.00",,,,Purchase Order,(RA 12009) Section 35.9: Lease of Real Property or Venue,(RA 12009) Section 35.9: Lease of Real Property or Venue,Main APP,"Lease of Venue, Catering and Hotel Accmmodation Services for Training Activities",Initial,,bit.ly/VENUEANDCATERING2026EPA,,,,,,,
1184,Training (Inhouse): Packed 1 Snack only (For Delivery),Training Expenses,480,Pax,155.00,"74,400.00",Goods and Services,Yes,OB-Gyne,September 2025,0001,x-x-x-x-x,March to July 2025,None,NEP/GAA 2026,2025-3617,"October 1, 2025",26-01-0003,480,155.00,"74,400.00",,"October 1, 2025","74,400.00",,"October 6, 2025","October 8, 2025",12464131,2601-GOODS-03A,"October 16, 2025","October 30, 2025","October 30, 2025","November 3, 2025",N/A,N/A,,,,,LCRB / SCRB,,,,,,,,,,,,,0.00,,,,,,,Failed,(RA 12009) Section 27: Competitive Bidding,,Main APP,"Procurement of Venue, Catering Services, Hotel Accommodation and Meals and Snacks for FY 2026 (Early Procurement Activities)",Initial,,bit.ly/VENUEANDCATERING2026EPA,,,,,,,
1185,Training (Inhouse): Venue and Catering (Hotel),Training Expenses,415,Pax,671.00,"278,465.00",Goods and Services,Yes,OCAO,September 2025,0001,x-x-x-x-x,March to July 2025,None,NEP/GAA 2026,2025-3617,"October 1, 2025",26-01-0003,415,671.00,0.00,,"October 1, 2025",0.00,,"October 6, 2025","October 8, 2025",12464131,2601-GOODS-03A,"October 16, 2025","October 30, 2025","October 30, 2025","November 3, 2025",N/A,N/A,,,,,LCRB / SCRB,,,,,,,,,,,,,0.00,,,,,,,Failed,(RA 12009) Section 27: Competitive Bidding,,Main APP,"Procurement of Venue, Catering Services, Hotel Accommodation and Meals and Snacks for FY 2026 (Early Procurement Activities)",Initial,,bit.ly/VENUEANDCATERING2026EPA,,,,,,,
1185,Training (Inhouse): Venue and Catering (Hotel),Training Expenses,415,Pax,671.00,0.00,Goods and Services,Yes,OCAO,September 2025,0001,x-x-x-x-x,March to July 2025,None,NEP/GAA 2026,2025-3617,"October 1, 2025",26-01-0003,415,671.00,"278,465.00",,"October 1, 2025","278,465.00",,N/A,N/A,N/A,0043 (LR-03-0043),N/A,"March 11, 2026","March 11, 2026","March 11, 2026",N/A,N/A,,N/A,,,LCRB / SCRB,"March 10, 2026","March 12, 2026",,,2026-03-10-0035,,,,GRAND ASTORIA HOTEL,,415,670.00,"278,050.00",,,"278,050.00",,,,Awarded,(RA 12009) Section 35.9: Lease of Real Property or Venue,,Main APP,"Lease of Venue, Catering and Hotel Accmmodation Services for Training Activities",Initial,,bit.ly/VENUEANDCATERING2026EPA,,,,,,,
1185,Training (Inhouse): Venue and Catering (Hotel),Training Expenses,415,Pax,671.00,0.00,Goods and Services,Yes,OCAO,September 2025,0001,x-x-x-x-x,March to July 2025,None,NEP/GAA 2026,2025-3617,"October 1, 2025",26-01-0003,415,671.00,0.00,,"October 1, 2025",0.00,,N/A,N/A,N/A,0043 (LR-03-0043),N/A,"March 11, 2026","March 11, 2026","March 11, 2026",N/A,N/A,"March 10, 2026",N/A,,,LCRB / SCRB,"March 10, 2026","March 12, 2026","March 13, 2026","March 30, 2026",2026-03-10-0035,"March 13, 2026",26-03-0079,,GRAND ASTORIA HOTEL,"March 30, 2026",80,670.00,"53,600.00","March 17, 2026","March 30, 2026","53,600.00",,,,Purchase Order,(RA 12009) Section 35.9: Lease of Real Property or Venue,(RA 12009) Section 35.9: Lease of Real Property or Venue,Main APP,"Lease of Venue, Catering and Hotel Accmmodation Services for Training Activities",Initial,,bit.ly/VENUEANDCATERING2026EPA,,,,,,,
1185,Training (Inhouse): Venue and Catering (Hotel),Training Expenses,415,Pax,671.00,0.00,Goods and Services,Yes,OCAO,September 2025,0001,x-x-x-x-x,March to July 2025,None,NEP/GAA 2026,2025-3617,"October 1, 2025",26-01-0003,415,671.00,0.00,,"October 1, 2025",0.00,,N/A,N/A,N/A,0043 (LR-03-0043),N/A,"March 11, 2026","March 11, 2026","March 11, 2026",N/A,N/A,"March 10, 2026",N/A,,,LCRB / SCRB,"March 10, 2026","March 12, 2026","May 7, 2026","March 30, 2026",2026-03-10-0035,"May 7, 2026",26-05-0264,,GRAND ASTORIA HOTEL,,60,670.00,"40,200.00",,,"40,200.00",,,,Purchase Order,(RA 12009) Section 35.9: Lease of Real Property or Venue,(RA 12009) Section 35.9: Lease of Real Property or Venue,Main APP,"Lease of Venue, Catering and Hotel Accmmodation Services for Training Activities",Initial,,bit.ly/VENUEANDCATERING2026EPA,,,,,,,
1185,Training (Inhouse): Venue and Catering (Hotel),Training Expenses,415,Pax,671.00,0.00,Goods and Services,Yes,OCAO,September 2025,0001,x-x-x-x-x,March to July 2025,None,NEP/GAA 2026,2025-3617,"October 1, 2025",26-01-0003,415,671.00,0.00,,"October 1, 2025",0.00,,N/A,N/A,N/A,0043 (LR-03-0043),N/A,"March 11, 2026","March 11, 2026","March 11, 2026",N/A,N/A,"March 10, 2026",N/A,,,LCRB / SCRB,"March 10, 2026","March 12, 2026","May 7, 2026","March 30, 2026",2026-03-10-0035,"May 7, 2026",26-05-0265,,GRAND ASTORIA HOTEL,,80,670.00,"53,600.00",,,"53,600.00",,,,Purchase Order,(RA 12009) Section 35.9: Lease of Real Property or Venue,(RA 12009) Section 35.9: Lease of Real Property or Venue,Main APP,"Lease of Venue, Catering and Hotel Accmmodation Services for Training Activities",Initial,,bit.ly/VENUEANDCATERING2026EPA,,,,,,,
1185,Training (Inhouse): Venue and Catering (Hotel),Training Expenses,415,Pax,671.00,0.00,Goods and Services,Yes,OCAO,September 2025,0001,x-x-x-x-x,March to July 2025,None,NEP/GAA 2026,2025-3617,"October 1, 2025",26-01-0003,415,671.00,0.00,,"October 1, 2025",0.00,,N/A,N/A,N/A,0043 (LR-03-0043),N/A,"March 11, 2026","March 11, 2026","March 11, 2026",N/A,N/A,"March 10, 2026",N/A,,,LCRB / SCRB,"March 10, 2026","March 12, 2026","August 6, 2026",,2026-03-10-0035,"August 6, 2026",26-08-0627,,GRAND ASTORIA HOTEL,,35,670.00,"23,450.00",,,"23,450.00",,,,Purchase Order,(RA 12009) Section 35.9: Lease of Real Property or Venue,(RA 12009) Section 35.9: Lease of Real Property or Venue,Main APP,"Lease of Venue, Catering and Hotel Accmmodation Services for Training Activities",Initial,,bit.ly/VENUEANDCATERING2026EPA,,,,,,,
1186,Training (Inhouse): Venue and Catering with Decorations (Hotel),Training Expenses,395,Pax,723.00,"285,585.00",Goods and Services,Yes,MSS,September 2025,0001,x-x-x-x-x,March to July 2025,None,NEP/GAA 2026,2025-3617,"October 1, 2025",26-01-0003,395,723.00,0.00,,"October 1, 2025",0.00,,"October 6, 2025","October 8, 2025",12464131,2601-GOODS-03A,"October 16, 2025","October 30, 2025","October 30, 2025","November 3, 2025",N/A,N/A,,,,,LCRB / SCRB,,,,,,,,,,,,,0.00,,,,,,,Failed,(RA 12009) Section 27: Competitive Bidding,,Main APP,"Procurement of Venue, Catering Services, Hotel Accommodation and Meals and Snacks for FY 2026 (Early Procurement Activities)",Initial,,bit.ly/VENUEANDCATERING2026EPA,,,,,,,
1186,Training (Inhouse): Venue and Catering with Decorations (Hotel),Training Expenses,395,Pax,723.00,0.00,Goods and Services,Yes,MSS,September 2025,0001,x-x-x-x-x,March to July 2025,None,NEP/GAA 2026,2025-3617,"October 1, 2025",26-01-0003,395,723.00,"285,585.00",,"October 1, 2025","285,585.00",,N/A,N/A,N/A,0043 (LR-03-0043),N/A,"March 11, 2026","March 11, 2026","March 11, 2026",N/A,N/A,,N/A,,,LCRB / SCRB,"March 10, 2026","March 12, 2026",,,2026-03-10-0035,,,,GRAND ASTORIA HOTEL,,395,720.00,"284,400.00",,,"284,400.00",,,,Awarded,(RA 12009) Section 35.9: Lease of Real Property or Venue,,Main APP,"Lease of Venue, Catering and Hotel Accmmodation Services for Training Activities",Initial,,bit.ly/VENUEANDCATERING2026EPA,,,,,,,
1186,Training (Inhouse): Venue and Catering with Decorations (Hotel),Training Expenses,395,Pax,723.00,0.00,Goods and Services,Yes,MSS,September 2025,0001,x-x-x-x-x,March to July 2025,None,NEP/GAA 2026,2025-3617,"October 1, 2025",26-01-0003,395,723.00,0.00,,"October 1, 2025",0.00,,N/A,N/A,N/A,0043 (LR-03-0043),N/A,"March 11, 2026","March 11, 2026","March 11, 2026",N/A,N/A,"March 10, 2026",N/A,,,LCRB / SCRB,"March 10, 2026","March 12, 2026","March 13, 2026","March 30, 2026",2026-03-10-0035,"March 13, 2026",26-03-0079,,GRAND ASTORIA HOTEL,"March 30, 2026",21,720.00,"15,120.00","March 17, 2026","March 30, 2026","15,120.00",,,,Purchase Order,(RA 12009) Section 35.9: Lease of Real Property or Venue,(RA 12009) Section 35.9: Lease of Real Property or Venue,Main APP,"Lease of Venue, Catering and Hotel Accmmodation Services for Training Activities",Initial,,bit.ly/VENUEANDCATERING2026EPA,,,,,,,
1186,Training (Inhouse): Venue and Catering with Decorations (Hotel),Training Expenses,395,Pax,723.00,0.00,Goods and Services,Yes,MSS,September 2025,0001,x-x-x-x-x,March to July 2025,None,NEP/GAA 2026,2025-3617,"October 1, 2025",26-01-0003,395,723.00,0.00,,"October 1, 2025",0.00,,N/A,N/A,N/A,0043 (LR-03-0043),N/A,"March 11, 2026","March 11, 2026","March 11, 2026",N/A,N/A,"March 10, 2026",N/A,,,LCRB / SCRB,"March 10, 2026","March 12, 2026","May 21, 2026",,2026-03-10-0035,"May 21, 2026",26-05-0323,,GRAND ASTORIA HOTEL,,125,720.00,"90,000.00",,,"90,000.00",,,,Purchase Order,(RA 12009) Section 35.9: Lease of Real Property or Venue,(RA 12009) Section 35.9: Lease of Real Property or Venue,Main APP,"Lease of Venue, Catering and Hotel Accmmodation Services for Training Activities",Initial,,bit.ly/VENUEANDCATERING2026EPA,,,,,,,
